openalex_id,doi,title,year,language,type,abstract,in_jones,in_termsearch,in_snowball,n_sources,n_edges_fwd_ft,n_edges_fwd_tiab,n_cited_by_foras_any,n_cited_by_foras_tiab,n_cited_by_foras_ft,in_foras,title_has_ptsd,has_abstract,bucket,era
W1897891557,,Combat Stress Reaction: The Enduring Toll of War,1993,en,book,In the Shadow of War. Sisters in Sorrow. Psychological Breakdown on the Battlefield. Naked on Dizengoff. Does the War End When the Shooting Stops? PTSD: The Inner Landscape. From Front Line to Home Front. If At First You Don't Succeed: Military Functioning on the Battlefield. Body and Soul. The Imprint of Trauma. Yet Once More: The Effect of Repeated Wars. Reactivation: Trauma Deepens Trauma. Is Delayed PTSD for Real? Fathers and Sons: The Transgenerational Impact of the Holocaust. Why Don't They Seek Treatment? The Silver Platter. Index.,False,True,True,2,0,0,22,7,1,False,False,True,HIGH,1980+
W2057711239,https://doi.org/10.1097/00005053-198805000-00002,Psychological Sequelae of War A 2-Year Follow-up Study of Israeli Combat Stress Reaction Casualties,1988,en,article,"The relationships of two stress-related intrapsychic manifestations--intrusion and avoidance--to combat stress reaction and posttraumatic stress disorder were assessed 1 and 2 years after the 1982 Lebanon War. The sample consisted of 285 combat stress reaction Israeli casualties and 198 comparable control subjects. Results showed that higher rates of intrusion and avoidance were reported by both combat stress reaction and posttraumatic stress disorder casualties at the two points in time. In addition, the level of intrusion tendencies declined with time. Theoretical and methodological implications are discussed.",False,True,False,1,0,0,8,3,0,False,False,True,HIGH,1980+
W2164406136,https://doi.org/10.1176/appi.ajp.162.12.2309,Frontline Treatment of Combat Stress Reaction: A 20-Year Longitudinal Evaluation Study,2005,en,article,Frontline treatment is associated with improved outcomes even two decades after its application. This treatment may also be effective for nonmilitary precursors of posttraumatic stress disorder.,False,True,False,1,0,0,12,3,0,False,False,True,HIGH,1980+
W1794622667,https://doi.org/10.7326/0003-4819-27-6-1051_2,War Stress and Neurotic Illness.,1947,en,article,"This book is a restatement of Kardiner's earlier contribution to the study of traumatic neuroses originally entitled ""The Traumatic Neuroses of War."" The present edition contains an additional section concerning the acute phase of the war neuroses, written in collaboration with Herbert Spiegel. This section is an adequate, if incomplete, description of the emotional setting and of the psychologic and morale factors significant in the development of the war neuroses. There is no particularly new systematic approach in this part of the book; but, since it is based on the writer's own experiences in battle, it produces an authentic and vivid impact on the reader. The greater part of the book is devoted to the study of the chronic phase of the war neuroses. Kardiner makes much of the difference between the acute and the chronic phases. He adopts the rather unusual position that the acute phase of the illness",False,True,False,1,0,0,12,2,0,False,False,True,MEDIAN,1945-1979
W2151134135,https://doi.org/10.1017/s0033291700024995,Exposure to recurrent combat stress: combat stress reactions among Israeli soldiers in the Lebanon War,1987,en,article,"This study examined the impact of repeated exposure to combat on combat stress reaction (CSR). Soldiers diagnosed with CSR during the Lebanon War (N = 382) were compared with a matched control group of soldiers who fought in the same units but did not manifest symptoms of CSR (N = 334). CSR in the Lebanon War was found to be related to the psychological outcome the soldier experienced in previous wars. The CSR rate in the Lebanon War was higher in soldiers who had experienced an episode of CSR in a previous war than in soldiers with no past combat experience. However, CSR rates were lower among soldiers who had not had an episode of CSR in a previous war than among soldiers with no prior combat experience. High intensity of combat in Lebanon was found to increase both the detrimental and favourable effects of prior combat experience.",False,True,False,1,0,0,6,1,0,False,False,True,MEDIAN,1980+
W2327022950,https://doi.org/10.1097/00006842-194404000-00002,Brief Psychotherapy in War Neuroses,1944,en,article,"Army Air Forces Presented before the meeting of the Brief Psychotherapy Council, Institute for Psychoanalysis, Chicago, January 14, 1944.",True,True,False,2,0,0,1,0,0,False,False,True,LOW,pre-1945
W4250282992,https://doi.org/10.1001/jama.1944.02850420061026,War Neuroses in North Africa: The Tunisian Campaign (January-May 1943),1944,en,article,"This preliminary report of the neuropsychiatric casualties encountered during the Tunisian campaign was reproduced and distributed through aid from the Josiah Macy Jr. Foundation. It was written in the theater of operations. In the foreword this fact is given in explanation of the obvious need for careful editing which exists throughout the work. The material is made up primarily of actual battle casualties which occurred during the difficult campaigns of this period. The authors were stationed from 300 to 500 miles behind the front lines and from 150 to 200 miles behind the active air bases. Patients when evacuated by air arrived for treatment in from two to five days after the breakdown, and others arrived from seven to ten days after the clinical onset. The authors set up a classification scheme of ten clinical syndromes manifested by specific symptoms depending on the manner in which the individual handles the",True,True,False,2,0,0,0,0,0,False,False,True,LOW,pre-1945
W1971917793,https://doi.org/10.1176/ajp.108.6.401,TRAUMATIC WAR NEUROSES FIVE YEARS LATER,1951,en,article,"This paper presents a summary of our experiences with a large group of cases of traumatic war neurosis during the 5-year period since the end of the war. We have made certain observations that have been hitherto unreported and that we feel have both theoretical and practical therapeutic significance. 1. Traumatic war neuroses occur in non-combatant military personnel located in a combat area with a relatively high degree of frequency. This group is vulnerable because they are exposed to traumata without the possibility of effective motor discharge of the emotions thereby engendered. 2. Guilt about killing or assailing defenseless enemy personnel, either military or civilian, is an important factor in the precipitation of a traumatic war neurosis. In such instances the superimposed military code (superego) yields to the earlier and stronger civilian prohibition against violence toward others. 3. Traumatic war neurosis can and does occur in conjunction with physical injury. Separation from the unit because of physical injury removes the influence of group morale, which serves as a deterrent to neurotic breakdown. 4. Physical injury or medical or surgical disorder that leads to enforced immobilization seems to encourage the development of the traumatic war neurosis by depriving the individual of the possibility of discharge of tension through motor activity. 5. Speech disturbances such as stammering can occur in cases of traumatic war neurosis without any evidence of this disorder having existed previously. 6. An overidealization of the pretraumatic history occurs in cases of traumatic war neurosis. This is viewed as a defensive maneuver of the ego in its effort to find some stable point in a world that has become overwhelming and threatening to the patient. 7. The monotonous repetition of the traumatic war experiences and combat dreams in cases of traumatic war neurosis is caused by the transformation of the world into a threatening place. The patient reacts to civilian life as if he were still in combat. 8. Changes in the details of the repetitive traumatic experiences and the combat dreams are significant indicators of the points at which the traumatic experiences are linked with pretraumatic experiences. 9. In our experience, the use of intravenous narcosis or hypnosis has not been particularly helpful in cases of chronic traumatic war neurosis. This is due to the need for developing a firm relationship with the patient because of his feeling regarding the threatening nature of his environment and the people therein. 10. We have differentiated 2 character groups among our cases of traumatic war neurosis, according to their pretraumatic adjustment. We have characterized them as alloplastic and autoplastic, or outgoing and inhibited. In the alloplastic, therapy is usually relatively short and consists essentially of relating combat experiences to present feelings and attitudes. In the autoplastic, a further step can be taken beyond this in that the traumatic experiences are related not merely to their present feelings and attitudes but also to the pretraumatic experiences. We feel that this differentiation is important particularly from a practical therapeutic point of view.",True,True,False,2,0,0,3,0,0,False,False,True,LOW,1945-1979
W2077089048,https://doi.org/10.1177/002200948902400203,"War Neurosis and Cultural Change in England, 1914-22: The Work of the War Office Committee of Enquiry into 'Shell-Shock'",1989,en,article,"The first world war fundamentally challenged inherited social and cultural ideas, including traditional views of mental illness and its treatment. The hordes of English veterans who suffered from warinduced mental illness, or what was then called 'shell-shock', raised the most complex and disturbing questions. Their sufferings not only challenged long-held medical opinions about the nature and treatment of mental illness, but seemed to demand that the very wellsprings of human behaviour be explored anew. Furthermore, so basic were the questions posed by the shell-shock crisis that they ultimately threatened a number of traditional moral values. New views of the mind brought in their wake ambivalence where formerly there had been certainty. An important manifestation of this transformation of values was the Report of the War Office Committee of Enquiry into 'Shell-Shock' which was issued in 1922. On 28 April 1920, Lord Southborough addressed the House of Lords regarding his motion to establish a committee to investigate the nature and treatment of'shell-shock' in the Great War.",True,True,False,2,0,0,2,0,0,False,False,True,LOW,1980+
W2298743613,https://doi.org/10.1177/007327539303100402,"“Minds the Dead Have Ravished”:<sup>1</sup> Shell Shock, History, and the Ecology of Disease-Systems",1993,en,article,"Au cours de la premiere guerre mondiale, une etrange epidemie a touche les soldats anglais: La Psychose. Ce cas precis, sert d'introduction a l'etude de la relation entre les maladies et leur environnement",True,True,False,2,0,0,0,0,0,False,False,True,LOW,1980+
