record_id,label,classifier,querier,balancer,feature_extractor,training_set,time,note,tags,user_id
7352,1,,,,,,1782207724.9423485,,,
6883,0,,,,,,1782207724.9423485,,,
5913,1,svm,max,balanced,cached_mxbai,2,1782207724.9900877,,,
4393,1,svm,max,balanced,cached_mxbai,3,1782207725.0449712,,,
10423,1,svm,max,balanced,cached_mxbai,4,1782207725.0935686,,,
10176,1,svm,max,balanced,cached_mxbai,5,1782207725.1429908,,,
9026,0,svm,max,balanced,cached_mxbai,6,1782207725.1927896,,,
7339,1,svm,max,balanced,cached_mxbai,7,1782207725.2507286,,,
5970,0,svm,max,balanced,cached_mxbai,8,1782207725.3223085,,,
7547,1,svm,max,balanced,cached_mxbai,9,1782207725.3795714,,,
7548,1,svm,max,balanced,cached_mxbai,10,1782207725.4276006,,,
8411,1,svm,max,balanced,cached_mxbai,11,1782207725.4762373,,,
3247,0,svm,max,balanced,cached_mxbai,12,1782207725.5241337,,,
9772,1,svm,max,balanced,cached_mxbai,13,1782207725.573671,,,
6484,1,svm,max,balanced,cached_mxbai,14,1782207725.6229527,,,
3702,1,svm,max,balanced,cached_mxbai,15,1782207725.6719434,,,
5481,0,svm,max,balanced,cached_mxbai,16,1782207725.7204776,,,
5950,1,svm,max,balanced,cached_mxbai,17,1782207725.7701163,,,
1230,0,svm,max,balanced,cached_mxbai,18,1782207725.818767,,,
5976,0,svm,max,balanced,cached_mxbai,19,1782207725.8681102,,,
1621,1,svm,max,balanced,cached_mxbai,20,1782207725.9157913,,,
6884,0,svm,max,balanced,cached_mxbai,21,1782207725.9661326,,,
1960,0,svm,max,balanced,cached_mxbai,22,1782207726.0151088,,,
7914,1,svm,max,balanced,cached_mxbai,23,1782207726.064171,,,
1245,0,svm,max,balanced,cached_mxbai,24,1782207726.112338,,,
7479,0,svm,max,balanced,cached_mxbai,25,1782207726.1602323,,,
6481,0,svm,max,balanced,cached_mxbai,26,1782207726.2086644,,,
10454,0,svm,max,balanced,cached_mxbai,27,1782207726.2570739,,,
7333,1,svm,max,balanced,cached_mxbai,28,1782207726.305813,,,
7904,1,svm,max,balanced,cached_mxbai,29,1782207726.3548596,,,
6419,1,svm,max,balanced,cached_mxbai,30,1782207726.4048548,,,
1159,1,svm,max,balanced,cached_mxbai,31,1782207726.4546437,,,
9891,0,svm,max,balanced,cached_mxbai,32,1782207726.504063,,,
6050,0,svm,max,balanced,cached_mxbai,33,1782207726.5544028,,,
3489,0,svm,max,balanced,cached_mxbai,34,1782207726.6046717,,,
6097,1,svm,max,balanced,cached_mxbai,35,1782207726.6549795,,,
9589,0,svm,max,balanced,cached_mxbai,36,1782207726.7040977,,,
1005,0,svm,max,balanced,cached_mxbai,37,1782207726.7539232,,,
882,0,svm,max,balanced,cached_mxbai,38,1782207726.8038466,,,
7368,0,svm,max,balanced,cached_mxbai,39,1782207726.8522823,,,
5647,1,svm,max,balanced,cached_mxbai,40,1782207726.9009666,,,
7026,0,svm,max,balanced,cached_mxbai,41,1782207726.950165,,,
9344,1,svm,max,balanced,cached_mxbai,42,1782207726.9992077,,,
5656,1,svm,max,balanced,cached_mxbai,43,1782207727.0479734,,,
8434,1,svm,max,balanced,cached_mxbai,44,1782207727.09951,,,
3820,1,svm,max,balanced,cached_mxbai,45,1782207727.148848,,,
10220,1,svm,max,balanced,cached_mxbai,46,1782207727.1988344,,,
9004,1,svm,max,balanced,cached_mxbai,47,1782207727.2490296,,,
1802,1,svm,max,balanced,cached_mxbai,48,1782207727.2996027,,,
6767,0,svm,max,balanced,cached_mxbai,49,1782207727.349038,,,
8552,0,svm,max,balanced,cached_mxbai,50,1782207727.3990629,,,
1833,1,svm,max,balanced,cached_mxbai,51,1782207727.44883,,,
8412,1,svm,max,balanced,cached_mxbai,52,1782207727.4989958,,,
7598,0,svm,max,balanced,cached_mxbai,53,1782207727.549132,,,
6283,1,svm,max,balanced,cached_mxbai,54,1782207727.6002223,,,
1141,1,svm,max,balanced,cached_mxbai,55,1782207727.6522305,,,
7373,1,svm,max,balanced,cached_mxbai,56,1782207727.7024703,,,
8719,1,svm,max,balanced,cached_mxbai,57,1782207727.7532027,,,
8718,0,svm,max,balanced,cached_mxbai,58,1782207727.8050156,,,
8843,0,svm,max,balanced,cached_mxbai,59,1782207727.8551013,,,
9498,1,svm,max,balanced,cached_mxbai,60,1782207727.9050877,,,
10015,1,svm,max,balanced,cached_mxbai,61,1782207727.9554722,,,
9685,1,svm,max,balanced,cached_mxbai,62,1782207728.0062182,,,
6376,0,svm,max,balanced,cached_mxbai,63,1782207728.0560064,,,
9360,0,svm,max,balanced,cached_mxbai,64,1782207728.1054633,,,
7928,0,svm,max,balanced,cached_mxbai,65,1782207728.1560469,,,
8594,1,svm,max,balanced,cached_mxbai,66,1782207728.2067013,,,
6637,1,svm,max,balanced,cached_mxbai,67,1782207728.256942,,,
4083,0,svm,max,balanced,cached_mxbai,68,1782207728.307478,,,
6902,1,svm,max,balanced,cached_mxbai,69,1782207728.3569856,,,
6904,1,svm,max,balanced,cached_mxbai,70,1782207728.4070187,,,
4468,0,svm,max,balanced,cached_mxbai,71,1782207728.4578536,,,
8378,0,svm,max,balanced,cached_mxbai,72,1782207728.5089533,,,
9380,0,svm,max,balanced,cached_mxbai,73,1782207728.5611265,,,
10029,0,svm,max,balanced,cached_mxbai,74,1782207728.6125634,,,
6197,0,svm,max,balanced,cached_mxbai,75,1782207728.665583,,,
5115,0,svm,max,balanced,cached_mxbai,76,1782207728.7170122,,,
1428,0,svm,max,balanced,cached_mxbai,77,1782207728.7714858,,,
10523,1,svm,max,balanced,cached_mxbai,78,1782207728.8250809,,,
5369,1,svm,max,balanced,cached_mxbai,79,1782207728.876193,,,
649,0,svm,max,balanced,cached_mxbai,80,1782207728.9267473,,,
8295,0,svm,max,balanced,cached_mxbai,81,1782207728.9798138,,,
5353,1,svm,max,balanced,cached_mxbai,82,1782207729.0314946,,,
3931,1,svm,max,balanced,cached_mxbai,83,1782207729.0827446,,,
5301,1,svm,max,balanced,cached_mxbai,84,1782207729.1345558,,,
9959,1,svm,max,balanced,cached_mxbai,85,1782207729.18589,,,
8537,1,svm,max,balanced,cached_mxbai,86,1782207729.2381287,,,
5297,0,svm,max,balanced,cached_mxbai,87,1782207729.2911956,,,
5333,0,svm,max,balanced,cached_mxbai,88,1782207729.3431265,,,
8535,1,svm,max,balanced,cached_mxbai,89,1782207729.3962314,,,
5302,1,svm,max,balanced,cached_mxbai,90,1782207729.448475,,,
5298,1,svm,max,balanced,cached_mxbai,91,1782207729.5020385,,,
831,1,svm,max,balanced,cached_mxbai,92,1782207729.554062,,,
839,0,svm,max,balanced,cached_mxbai,93,1782207729.6068974,,,
1674,0,svm,max,balanced,cached_mxbai,94,1782207729.6605728,,,
10053,0,svm,max,balanced,cached_mxbai,95,1782207729.7139783,,,
982,0,svm,max,balanced,cached_mxbai,96,1782207729.7673106,,,
6673,1,svm,max,balanced,cached_mxbai,97,1782207729.8214228,,,
10447,1,svm,max,balanced,cached_mxbai,98,1782207729.8747745,,,
3590,0,svm,max,balanced,cached_mxbai,99,1782207729.927426,,,
8163,1,svm,max,balanced,cached_mxbai,100,1782207729.9785595,,,
5739,1,svm,max,balanced,cached_mxbai,101,1782207730.0315702,,,
6053,1,svm,max,balanced,cached_mxbai,102,1782207730.0866077,,,
7863,1,svm,max,balanced,cached_mxbai,103,1782207730.141769,,,
8649,1,svm,max,balanced,cached_mxbai,104,1782207730.1962264,,,
1747,1,svm,max,balanced,cached_mxbai,105,1782207730.2513037,,,
1748,0,svm,max,balanced,cached_mxbai,106,1782207730.3054283,,,
5081,0,svm,max,balanced,cached_mxbai,107,1782207730.3591964,,,
