record_id,label,classifier,querier,balancer,feature_extractor,training_set,time,note,tags,user_id
7351,1,,,,,,1782202179.9954896,,,
9584,0,,,,,,1782202179.9954896,,,
4053,0,svm,max,balanced,cached_mxbai,2,1782202180.0403087,,,
5151,0,svm,max,balanced,cached_mxbai,3,1782202180.0875778,,,
4250,0,svm,max,balanced,cached_mxbai,4,1782202180.1343853,,,
5967,1,svm,max,balanced,cached_mxbai,5,1782202180.1816475,,,
5970,0,svm,max,balanced,cached_mxbai,6,1782202180.228672,,,
7368,0,svm,max,balanced,cached_mxbai,7,1782202180.2758744,,,
5140,0,svm,max,balanced,cached_mxbai,8,1782202180.3233502,,,
9026,0,svm,max,balanced,cached_mxbai,9,1782202180.3722124,,,
3623,0,svm,max,balanced,cached_mxbai,10,1782202180.4213214,,,
4058,0,svm,max,balanced,cached_mxbai,11,1782202180.4700944,,,
4412,0,svm,max,balanced,cached_mxbai,12,1782202180.5189629,,,
10423,1,svm,max,balanced,cached_mxbai,13,1782202180.567733,,,
5913,1,svm,max,balanced,cached_mxbai,14,1782202180.6173155,,,
4393,1,svm,max,balanced,cached_mxbai,15,1782202180.6676645,,,
10176,1,svm,max,balanced,cached_mxbai,16,1782202180.7167013,,,
7339,1,svm,max,balanced,cached_mxbai,17,1782202180.7653599,,,
7547,1,svm,max,balanced,cached_mxbai,18,1782202180.8149865,,,
7548,1,svm,max,balanced,cached_mxbai,19,1782202180.8644967,,,
8411,1,svm,max,balanced,cached_mxbai,20,1782202180.9155865,,,
1621,1,svm,max,balanced,cached_mxbai,21,1782202180.966135,,,
3247,0,svm,max,balanced,cached_mxbai,22,1782202181.0166934,,,
6484,1,svm,max,balanced,cached_mxbai,23,1782202181.068699,,,
5481,0,svm,max,balanced,cached_mxbai,24,1782202181.119583,,,
9772,1,svm,max,balanced,cached_mxbai,25,1782202181.1692631,,,
3702,1,svm,max,balanced,cached_mxbai,26,1782202181.2196484,,,
5950,1,svm,max,balanced,cached_mxbai,27,1782202181.2698784,,,
9344,1,svm,max,balanced,cached_mxbai,28,1782202181.3202186,,,
1141,1,svm,max,balanced,cached_mxbai,29,1782202181.3700535,,,
6283,1,svm,max,balanced,cached_mxbai,30,1782202181.420462,,,
6097,1,svm,max,balanced,cached_mxbai,31,1782202181.4709783,,,
1230,0,svm,max,balanced,cached_mxbai,32,1782202181.521657,,,
5656,1,svm,max,balanced,cached_mxbai,33,1782202181.5718136,,,
10220,1,svm,max,balanced,cached_mxbai,34,1782202181.6225686,,,
9004,1,svm,max,balanced,cached_mxbai,35,1782202181.673658,,,
1802,1,svm,max,balanced,cached_mxbai,36,1782202181.7239263,,,
8843,0,svm,max,balanced,cached_mxbai,37,1782202181.7756474,,,
8434,1,svm,max,balanced,cached_mxbai,38,1782202181.8264422,,,
