record_id,label,classifier,querier,balancer,feature_extractor,training_set,time,note,tags,user_id
7351,1,,,,,,1782229318.7260811,,,
9584,0,,,,,,1782229318.7260811,,,
4053,0,svm,max,balanced,cached_mxbai,2,1782229318.772139,,,
5151,0,svm,max,balanced,cached_mxbai,3,1782229318.8211582,,,
4250,0,svm,max,balanced,cached_mxbai,4,1782229318.8695793,,,
5967,1,svm,max,balanced,cached_mxbai,5,1782229318.9179583,,,
5970,0,svm,max,balanced,cached_mxbai,6,1782229318.9665108,,,
7368,0,svm,max,balanced,cached_mxbai,7,1782229319.0148163,,,
5140,0,svm,max,balanced,cached_mxbai,8,1782229319.061862,,,
9026,0,svm,max,balanced,cached_mxbai,9,1782229319.1095328,,,
3623,0,svm,max,balanced,cached_mxbai,10,1782229319.1570761,,,
4058,0,svm,max,balanced,cached_mxbai,11,1782229319.2050939,,,
4412,0,svm,max,balanced,cached_mxbai,12,1782229319.2538507,,,
10423,1,svm,max,balanced,cached_mxbai,13,1782229319.3013878,,,
5913,1,svm,max,balanced,cached_mxbai,14,1782229319.3487568,,,
4393,1,svm,max,balanced,cached_mxbai,15,1782229319.396309,,,
10176,1,svm,max,balanced,cached_mxbai,16,1782229319.443789,,,
7339,1,svm,max,balanced,cached_mxbai,17,1782229319.4923022,,,
7547,1,svm,max,balanced,cached_mxbai,18,1782229319.5401895,,,
7548,1,svm,max,balanced,cached_mxbai,19,1782229319.5882554,,,
8411,1,svm,max,balanced,cached_mxbai,20,1782229319.6389794,,,
1621,1,svm,max,balanced,cached_mxbai,21,1782229319.6888156,,,
3247,0,svm,max,balanced,cached_mxbai,22,1782229319.7390718,,,
6484,1,svm,max,balanced,cached_mxbai,23,1782229319.7878237,,,
5481,0,svm,max,balanced,cached_mxbai,24,1782229319.8368728,,,
9772,1,svm,max,balanced,cached_mxbai,25,1782229319.8887355,,,
3702,1,svm,max,balanced,cached_mxbai,26,1782229319.937087,,,
5950,1,svm,max,balanced,cached_mxbai,27,1782229319.9850166,,,
9344,1,svm,max,balanced,cached_mxbai,28,1782229320.0344672,,,
1141,1,svm,max,balanced,cached_mxbai,29,1782229320.083852,,,
6283,1,svm,max,balanced,cached_mxbai,30,1782229320.132614,,,
6097,1,svm,max,balanced,cached_mxbai,31,1782229320.1813996,,,
1230,0,svm,max,balanced,cached_mxbai,32,1782229320.2308059,,,
5656,1,svm,max,balanced,cached_mxbai,33,1782229320.2795305,,,
10220,1,svm,max,balanced,cached_mxbai,34,1782229320.3287928,,,
9004,1,svm,max,balanced,cached_mxbai,35,1782229320.3779604,,,
1802,1,svm,max,balanced,cached_mxbai,36,1782229320.427877,,,
8843,0,svm,max,balanced,cached_mxbai,37,1782229320.477854,,,
8434,1,svm,max,balanced,cached_mxbai,38,1782229320.526718,,,
3820,1,svm,max,balanced,cached_mxbai,39,1782229320.5774624,,,
1833,1,svm,max,balanced,cached_mxbai,40,1782229320.627029,,,
7598,0,svm,max,balanced,cached_mxbai,41,1782229320.6761842,,,
6767,0,svm,max,balanced,cached_mxbai,42,1782229320.7251253,,,
10029,0,svm,max,balanced,cached_mxbai,43,1782229320.7754948,,,
5976,0,svm,max,balanced,cached_mxbai,44,1782229320.8270514,,,
6050,0,svm,max,balanced,cached_mxbai,45,1782229320.879732,,,
10015,1,svm,max,balanced,cached_mxbai,46,1782229320.930906,,,
5647,1,svm,max,balanced,cached_mxbai,47,1782229320.9817014,,,
8594,1,svm,max,balanced,cached_mxbai,48,1782229321.032619,,,
5353,1,svm,max,balanced,cached_mxbai,49,1782229321.0832036,,,
3931,1,svm,max,balanced,cached_mxbai,50,1782229321.1347604,,,
9498,1,svm,max,balanced,cached_mxbai,51,1782229321.18657,,,
8719,1,svm,max,balanced,cached_mxbai,52,1782229321.2372706,,,
8718,0,svm,max,balanced,cached_mxbai,53,1782229321.2892876,,,
1428,0,svm,max,balanced,cached_mxbai,54,1782229321.3412585,,,
5301,1,svm,max,balanced,cached_mxbai,55,1782229321.391485,,,
9959,1,svm,max,balanced,cached_mxbai,56,1782229321.4414067,,,
8537,1,svm,max,balanced,cached_mxbai,57,1782229321.491575,,,
5298,1,svm,max,balanced,cached_mxbai,58,1782229321.541624,,,
5297,0,svm,max,balanced,cached_mxbai,59,1782229321.5919695,,,
8535,1,svm,max,balanced,cached_mxbai,60,1782229321.6423252,,,
5302,1,svm,max,balanced,cached_mxbai,61,1782229321.6924825,,,
4083,0,svm,max,balanced,cached_mxbai,62,1782229321.7426248,,,
982,0,svm,max,balanced,cached_mxbai,63,1782229321.7948956,,,
8378,0,svm,max,balanced,cached_mxbai,64,1782229321.8466933,,,
1674,0,svm,max,balanced,cached_mxbai,65,1782229321.8988347,,,
10447,1,svm,max,balanced,cached_mxbai,66,1782229321.949912,,,
6197,0,svm,max,balanced,cached_mxbai,67,1782229322.0008268,,,
7026,0,svm,max,balanced,cached_mxbai,68,1782229322.0531106,,,
6673,1,svm,max,balanced,cached_mxbai,69,1782229322.1039393,,,
3590,0,svm,max,balanced,cached_mxbai,70,1782229322.1548011,,,
882,0,svm,max,balanced,cached_mxbai,71,1782229322.2057438,,,
831,1,svm,max,balanced,cached_mxbai,72,1782229322.2577064,,,
9720,0,svm,max,balanced,cached_mxbai,73,1782229322.30901,,,
7373,1,svm,max,balanced,cached_mxbai,74,1782229322.3623676,,,
839,0,svm,max,balanced,cached_mxbai,75,1782229322.4133918,,,
8412,1,svm,max,balanced,cached_mxbai,76,1782229322.4642475,,,
4452,0,svm,max,balanced,cached_mxbai,77,1782229322.5154135,,,
6902,1,svm,max,balanced,cached_mxbai,78,1782229322.5681987,,,
6904,1,svm,max,balanced,cached_mxbai,79,1782229322.6195753,,,
10053,0,svm,max,balanced,cached_mxbai,80,1782229322.6728544,,,
10456,0,svm,max,balanced,cached_mxbai,81,1782229322.7267027,,,
6637,1,svm,max,balanced,cached_mxbai,82,1782229322.7821646,,,
5333,0,svm,max,balanced,cached_mxbai,83,1782229322.8371115,,,
8295,0,svm,max,balanced,cached_mxbai,84,1782229322.8916094,,,
6376,0,svm,max,balanced,cached_mxbai,85,1782229322.9442844,,,
1960,0,svm,max,balanced,cached_mxbai,86,1782229322.9959974,,,
9589,0,svm,max,balanced,cached_mxbai,87,1782229323.0486088,,,
9142,0,svm,max,balanced,cached_mxbai,88,1782229323.101584,,,
5115,0,svm,max,balanced,cached_mxbai,89,1782229323.1542344,,,
9380,0,svm,max,balanced,cached_mxbai,90,1782229323.2054071,,,
6053,1,svm,max,balanced,cached_mxbai,91,1782229323.2575166,,,
8649,1,svm,max,balanced,cached_mxbai,92,1782229323.308969,,,
5081,0,svm,max,balanced,cached_mxbai,93,1782229323.3608775,,,
1747,1,svm,max,balanced,cached_mxbai,94,1782229323.412806,,,
1748,0,svm,max,balanced,cached_mxbai,95,1782229323.4659753,,,
5739,1,svm,max,balanced,cached_mxbai,96,1782229323.5181794,,,
7863,1,svm,max,balanced,cached_mxbai,97,1782229323.5701976,,,
8163,1,svm,max,balanced,cached_mxbai,98,1782229323.6220522,,,
8094,1,svm,max,balanced,cached_mxbai,99,1782229323.6748433,,,
8775,0,svm,max,balanced,cached_mxbai,100,1782229323.7262099,,,
9658,0,svm,max,balanced,cached_mxbai,101,1782229323.7789278,,,
5646,1,svm,max,balanced,cached_mxbai,102,1782229323.8368707,,,
2294,0,svm,max,balanced,cached_mxbai,103,1782229323.8958986,,,
7928,0,svm,max,balanced,cached_mxbai,104,1782229323.9526296,,,
9685,1,svm,max,balanced,cached_mxbai,105,1782229324.006796,,,
845,0,svm,max,balanced,cached_mxbai,106,1782229324.0604715,,,
6481,0,svm,max,balanced,cached_mxbai,107,1782229324.1151679,,,
9740,0,svm,max,balanced,cached_mxbai,108,1782229324.1702123,,,
7655,1,svm,max,balanced,cached_mxbai,109,1782229324.2253253,,,
10035,0,svm,max,balanced,cached_mxbai,110,1782229324.278477,,,
4558,0,svm,max,balanced,cached_mxbai,111,1782229324.332028,,,
7479,0,svm,max,balanced,cached_mxbai,112,1782229324.3861566,,,
1675,1,svm,max,balanced,cached_mxbai,113,1782229324.439858,,,
4457,0,svm,max,balanced,cached_mxbai,114,1782229324.4946856,,,
521,0,svm,max,balanced,cached_mxbai,115,1782229324.5493114,,,
8730,0,svm,max,balanced,cached_mxbai,116,1782229324.6040647,,,
7179,0,svm,max,balanced,cached_mxbai,117,1782229324.6607642,,,
8087,1,svm,max,balanced,cached_mxbai,118,1782229324.715424,,,
7352,1,svm,max,balanced,cached_mxbai,119,1782229324.77001,,,
10454,0,svm,max,balanced,cached_mxbai,120,1782229324.8255782,,,
6419,1,svm,max,balanced,cached_mxbai,121,1782229324.881353,,,
7904,1,svm,max,balanced,cached_mxbai,122,1782229324.9379566,,,
1159,1,svm,max,balanced,cached_mxbai,123,1782229324.9920907,,,
5369,1,svm,max,balanced,cached_mxbai,124,1782229325.0533926,,,
10523,1,svm,max,balanced,cached_mxbai,125,1782229325.1066482,,,
8552,0,svm,max,balanced,cached_mxbai,126,1782229325.161179,,,
7914,1,svm,max,balanced,cached_mxbai,127,1782229325.234169,,,
9787,1,svm,max,balanced,cached_mxbai,128,1782229325.3164847,,,
9527,1,svm,max,balanced,cached_mxbai,129,1782229325.3787699,,,
2751,0,svm,max,balanced,cached_mxbai,130,1782229325.4327283,,,
1245,0,svm,max,balanced,cached_mxbai,131,1782229325.4875135,,,
9891,0,svm,max,balanced,cached_mxbai,132,1782229325.5413263,,,
6884,0,svm,max,balanced,cached_mxbai,133,1782229325.5978804,,,
8314,1,svm,max,balanced,cached_mxbai,134,1782229325.6541746,,,
9686,1,svm,max,balanced,cached_mxbai,135,1782229325.70908,,,
7153,1,svm,max,balanced,cached_mxbai,136,1782229325.7635748,,,
4456,0,svm,max,balanced,cached_mxbai,137,1782229325.8195632,,,
3190,0,svm,max,balanced,cached_mxbai,138,1782229325.8757648,,,
8460,0,svm,max,balanced,cached_mxbai,139,1782229325.9324014,,,
3451,1,svm,max,balanced,cached_mxbai,140,1782229325.9874039,,,
3019,1,svm,max,balanced,cached_mxbai,141,1782229326.0426817,,,
2011,0,svm,max,balanced,cached_mxbai,142,1782229326.0977917,,,
5749,1,svm,max,balanced,cached_mxbai,143,1782229326.1524336,,,
6628,0,svm,max,balanced,cached_mxbai,144,1782229326.207132,,,
7413,1,svm,max,balanced,cached_mxbai,145,1782229326.2626605,,,
7333,1,svm,max,balanced,cached_mxbai,146,1782229326.3171244,,,
7412,0,svm,max,balanced,cached_mxbai,147,1782229326.3714085,,,
10512,1,svm,max,balanced,cached_mxbai,148,1782229326.4263062,,,
5750,0,svm,max,balanced,cached_mxbai,149,1782229326.4817815,,,
5972,0,svm,max,balanced,cached_mxbai,150,1782229326.5365927,,,
8503,1,svm,max,balanced,cached_mxbai,151,1782229326.5909202,,,
7877,1,svm,max,balanced,cached_mxbai,152,1782229326.6466177,,,
1728,1,svm,max,balanced,cached_mxbai,153,1782229326.7009463,,,
10147,1,svm,max,balanced,cached_mxbai,154,1782229326.7559435,,,
1726,1,svm,max,balanced,cached_mxbai,155,1782229326.8125165,,,
8807,0,svm,max,balanced,cached_mxbai,156,1782229326.8687599,,,
5670,0,svm,max,balanced,cached_mxbai,157,1782229326.9257128,,,
9077,0,svm,max,balanced,cached_mxbai,158,1782229326.9823792,,,
1028,0,svm,max,balanced,cached_mxbai,159,1782229327.0404139,,,
5888,1,svm,max,balanced,cached_mxbai,160,1782229327.0955684,,,
8620,0,svm,max,balanced,cached_mxbai,161,1782229327.1537294,,,
9835,0,svm,max,balanced,cached_mxbai,162,1782229327.20994,,,
8306,1,svm,max,balanced,cached_mxbai,163,1782229327.2660499,,,
4549,0,svm,max,balanced,cached_mxbai,164,1782229327.321531,,,
8656,0,svm,max,balanced,cached_mxbai,165,1782229327.377086,,,
1488,0,svm,max,balanced,cached_mxbai,166,1782229327.4324617,,,
4547,0,svm,max,balanced,cached_mxbai,167,1782229327.4883049,,,
6627,0,svm,max,balanced,cached_mxbai,168,1782229327.5446393,,,
4591,0,svm,max,balanced,cached_mxbai,169,1782229327.600836,,,
9525,0,svm,max,balanced,cached_mxbai,170,1782229327.6565132,,,
10324,0,svm,max,balanced,cached_mxbai,171,1782229327.7120328,,,
8401,0,svm,max,balanced,cached_mxbai,172,1782229327.768659,,,
5082,0,svm,max,balanced,cached_mxbai,173,1782229327.8268695,,,
10051,0,svm,max,balanced,cached_mxbai,174,1782229327.8853054,,,
6174,0,svm,max,balanced,cached_mxbai,175,1782229327.9442954,,,
1676,0,svm,max,balanced,cached_mxbai,176,1782229328.0032153,,,
1272,0,svm,max,balanced,cached_mxbai,177,1782229328.061801,,,
4534,0,svm,max,balanced,cached_mxbai,178,1782229328.1188157,,,
9360,0,svm,max,balanced,cached_mxbai,179,1782229328.1762307,,,
4455,0,svm,max,balanced,cached_mxbai,180,1782229328.2338614,,,
649,0,svm,max,balanced,cached_mxbai,181,1782229328.290715,,,
9750,1,svm,max,balanced,cached_mxbai,182,1782229328.3482869,,,
7724,1,svm,max,balanced,cached_mxbai,183,1782229328.4055505,,,
4345,0,svm,max,balanced,cached_mxbai,184,1782229328.4635057,,,
6617,0,svm,max,balanced,cached_mxbai,185,1782229328.5214856,,,
989,0,svm,max,balanced,cached_mxbai,186,1782229328.578543,,,
681,0,svm,max,balanced,cached_mxbai,187,1782229328.6372738,,,
5715,0,svm,max,balanced,cached_mxbai,188,1782229328.6950822,,,
8247,1,svm,max,balanced,cached_mxbai,189,1782229328.753696,,,
4508,0,svm,max,balanced,cached_mxbai,190,1782229328.8117547,,,
7561,0,svm,max,balanced,cached_mxbai,191,1782229328.8704748,,,
3509,0,svm,max,balanced,cached_mxbai,192,1782229328.9290018,,,
1311,0,svm,max,balanced,cached_mxbai,193,1782229328.9872053,,,
4592,0,svm,max,balanced,cached_mxbai,194,1782229329.0441325,,,
9325,1,svm,max,balanced,cached_mxbai,195,1782229329.1041584,,,
10062,0,svm,max,balanced,cached_mxbai,196,1782229329.1656985,,,
7340,0,svm,max,balanced,cached_mxbai,197,1782229329.226594,,,
6257,0,svm,max,balanced,cached_mxbai,198,1782229329.28596,,,
4751,0,svm,max,balanced,cached_mxbai,199,1782229329.3442838,,,
4448,0,svm,max,balanced,cached_mxbai,200,1782229329.4020913,,,
4718,0,svm,max,balanced,cached_mxbai,201,1782229329.4605742,,,
4950,0,svm,max,balanced,cached_mxbai,202,1782229329.5194197,,,
6783,0,svm,max,balanced,cached_mxbai,203,1782229329.5763183,,,
5299,0,svm,max,balanced,cached_mxbai,204,1782229329.6341243,,,
8442,0,svm,max,balanced,cached_mxbai,205,1782229329.6917593,,,
10037,0,svm,max,balanced,cached_mxbai,206,1782229329.7498214,,,
3692,0,svm,max,balanced,cached_mxbai,207,1782229329.8078067,,,
9107,0,svm,max,balanced,cached_mxbai,208,1782229329.8679566,,,
1002,1,svm,max,balanced,cached_mxbai,209,1782229329.926874,,,
