pp,nn,n_trials,wss_95_mean,wss_95_std,loss_mean,loss_std,atd_mean,drift_median_step_mean
0,0,1,0.8378,,0.021714467483746797,,293.19847328244276,
0,5,1,0.8376,,0.02048512643243768,,280.3358778625954,
0,10,1,0.85,,0.020274278026604836,,278.1297709923664,
0,20,1,0.841,,0.019859877007528528,,273.793893129771,
0,50,1,0.8493,,0.01665264658524076,,240.23664122137404,
0,100,1,0.8943,,0.005233272024356274,,120.7557251908397,
5,0,1,0.8482,,0.02303062846686944,,306.96946564885496,327.0
5,5,1,0.8335,,0.02330640942674769,,309.85496183206106,427.0
5,10,1,0.8114,,0.02364785251993028,,313.42748091603056,639.0
5,20,1,0.8413,,0.02368724979991289,,313.8396946564886,821.0
5,50,1,0.8198,,0.0202480131732831,,277.85496183206106,517.0
5,100,1,0.894,,0.0063064831142528414,,131.98473282442748,289.0
10,0,1,0.7951,,0.0264574622460973,,342.82442748091603,258.0
10,5,1,0.8448,,0.023274307939354453,,309.51908396946567,332.0
10,10,1,0.8355,,0.023823681121334137,,315.2671755725191,325.0
10,20,1,0.8476,,0.02127380161134875,,288.587786259542,166.0
10,50,1,0.8482,,0.02199900339473229,,296.17557251908397,369.0
10,100,1,0.8645,,0.011957804053980111,,191.1145038167939,906.0
20,0,1,0.8322,,0.025035512270428766,,327.9465648854962,235.5
20,5,1,0.8388,,0.03244803754123035,,405.5038167938931,384.0
20,10,1,0.8451,,0.025745392889374625,,335.37404580152673,289.0
20,20,1,0.81,,0.026865297051843172,,347.0916030534351,220.5
20,50,1,0.8198,,0.024367947248501262,,320.9618320610687,158.0
20,100,1,0.8802,,0.013327953902264104,,205.45038167938932,285.5
50,0,1,0.8583,,0.01693207544141369,,243.16030534351145,97.5
50,5,1,0.8145,,0.023835354389477134,,315.3893129770992,137.0
50,10,1,0.8081,,0.028146438230536832,,360.4961832061069,160.5
50,20,1,0.8061,,0.02859658863330106,,365.206106870229,155.0
50,50,1,0.8207,,0.02827557375936871,,361.8473282442748,180.5
50,100,1,0.8212,,0.024487598246966957,,322.21374045801525,254.5
100,0,1,0.8809,,0.009370716001788928,,164.04580152671755,91.0
100,5,1,0.8663,,0.01325937345192401,,204.73282442748092,107.0
100,10,1,0.8487,,0.015623939830139356,,229.4732824427481,112.0
100,20,1,0.8373,,0.018658989547317956,,261.2290076335878,123.0
100,50,1,0.7866,,0.026488104574972658,,343.14503816793894,168.0
100,100,1,0.7871,,0.03258373928339266,,406.9236641221374,184.0
